name,city,city_slug,region,country,michelin_award,price,cuisines,telephone,url,description
1949 - 全鸭季,Beijing,beijing,Beijing Municipality,中国内地,Selected,优质的,粤菜,+86 10 6521 2221,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/1949-duck-de-chine,由四合院改建而成，室外摆放两个大型兵马俑，室内装潢和菜单设计同样带有中国元素，非常风雅。主要提供粤菜，但顾名思义，烤鸭才是其招牌菜。精选鸭只以红枣木挂炉烤制，完成后由师傅端至餐桌前切片，并有服务人员在旁敲锣打鼓，提升气氛。品尝烤鸭前可以试试手撕杏鲍菇和芥末鸭掌，很适合佐酒。
1996川菜 · 主厨餐厅,Beijing,beijing,Beijing Municipality,中国内地,Selected,优质的,川菜,+86 135 2150 9321,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/chef-1996,坐落在竹林掩映的偏僻位置，拥有带着水雾、凉亭、石阶的小庭院，环境清秀雅致。客人会于包间用餐，享用以四川食材烹制的精致川菜。菜品以手工菜为主，包括用自家发酵腌渍酱料入馔的菜式。酥皮樟茶鸭为其招牌，厨师以果木烤制鸭子，再用樟树和茶叶烟熏，香气迷人。宫保大虾带有经典的糊辣荔枝味，值得一试。
Amico BJ,Beijing,beijing,Beijing Municipality,中国大陆地区,Selected,优质的,时尚欧陆菜,+86 10 8530 6951,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/amico-bj,以灰、黑色水泥墙和砖头打造的餐室充满时尚感，加上植物的点缀，别具气氛。主厨曾于意大利工作多年，并于当地邂逅日籍太太，故结合两国烹饪特色，并运用大量本地食材，炮制出别出心裁的创意美食。店內的酱汁和面包都是自家制作。吧台位置须提前预订。爱酒人士不妨向侍酒师查询葡萄酒选择。
Il Ristorante - Niko Romito,Beijing,beijing,Beijing Municipality,中国大陆地区,ONE_STAR,奢华,意大利菜,+86 10 8555 8585,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/il-ristorante-niko-romito-1186723,室内的玻璃吊灯型格时尚，配衬意大利大理石装潢，空间偌大又明亮，并可以欣赏酒店的园林景色。由来自米兰的厨师Niko Romito监督，为传统意大利菜注入现代元素，提升口味的深度和精细度，比如广受欢迎的牛肉配金枪鱼酱，便是将经典风味加以改良，值得一试。酒单选择丰富，以意大利佳酿搭配美食，可谓相得益彰。
Jing,Beijing,beijing,Beijing Municipality,中国内地,ONE_STAR,奢华,时尚法国菜,+86 10 8516 2888,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/jing,走进这家位于地下楼层的餐厅，会立即被眼前的型格酒吧、刺绣屏风及艺术品所吸引。法籍主厨来自巴斯克地区，菜单以当地美食为灵感，大量采用螯虾、扇贝、鱿鱼等海鲜，融合现代、轻盈的风味，为经典法菜增添个人色彩。巴斯克奶酪蛋糕沿用传统食谱，不容错过。设有须预订的主厨餐桌，能与主厨作深入交流。
Mio,Beijing,beijing,Beijing Municipality,中国大陆地区,Selected,奢华,意大利菜,+86 56958522,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/mio,餐室用上镜面天花、玻璃珠串点缀，配合开放式厨房，营造出时尚氛围。意大利主厨以家乡的传统菜式为基础，结合现代烹调技巧，带来随季节更替的菜单。其中，小牛肉配金枪鱼酱、羊肉意大利面、意式饺子、烤小牛肉等菜肴，无不体现其匠心独运，十分美味。酒吧供应各款意大利主题的鸡尾酒，值得一试。
The Georg,Beijing,beijing,Beijing Municipality,中国大陆地区,ONE_STAR,奢华,时尚欧陆菜,+86 186 1833 7710,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/the-georg,于2023年开业，毗邻故宫。餐厅占地三层，采用优雅的白色装潢，并以画作和绿植妆点空间，营造北欧简约风格。午餐主要提供单点菜单，当中的开放式三明治别具北欧特色。晚市仅提供套餐，菜式根据季节变化，包罗世界各地的优质海鲜和肉类，当中不乏采用腌制及烟熏技巧制作的餐点。
Trb Hutong,Beijing,beijing,Beijing Municipality,中国内地,ONE_STAR,奢华,时尚法国菜,+86 139 1171 2083,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/trb-hutong,客人需要转过胡同小巷，才能到达这家位于古寺庙的餐厅。主厨精选本地食材制作出两款套餐，包括讲究时令的应季菜单，以及结合主厨回忆和高档食材的招牌菜单。卖相精致、质感和味道俱佳的法式菜肴，让味觉与视觉同时得到满足，出色的甜品为整场盛宴留下深刻余韵。团队专业的服务，让用餐体验更完满。
乐‧墨瑞,Beijing,beijing,Beijing Municipality,中国大陆地区,Selected,优质的,时尚法国菜,+86 10 6506 3110,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/les-morilles,这家位于亮马河畔的餐厅，麻雀虽小却五脏俱全，提供优质的现代法式料理。晚市备有两款套餐，食物不仅漂亮得像一幅画，且选料上乘、烹调用心，足见厨师对料理的热情。享用主菜之余，别忘了预留空间，和亲朋伴侣分享法式甜点国王饼。设有配酒服务，加上优雅的用餐环境，适合庆祝活动。
乡味小厨,Beijing,beijing,Beijing Municipality,中国大陆地区,Selected,优质的,京菜,+86 10 6536 0066,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/country-kitchen,开放式厨房特设烤鸭区域，摆上一排排的肥美鸭子，颇为壮观。厨房团队由本地主厨带领，带来具北方特色的风味菜单，除了烧烤、手工面等大众化美食，亦提供传统京鲁菜。北京烤鸭采用以板栗饲养的鸭种，带有特殊香气，鸭皮入口即化。窗外是城市景观，室内墙壁由古砖砌成，并以陶器和柴火炉点缀，古色古香。
京兆尹,Beijing,beijing,Beijing Municipality,中国内地,TWO_STARS,奢华,素食,+86 10 8404 9191,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/king-s-joy,<p>位于雍和宫旁，其古色古香的四合院造景，呈现禅意氛围。餐厅开业十余年以来，既尊重食材本味，也讲求养生理念。提供三款蛋奶素套餐，并可按要求制成纯素。网罗当季时令蔬果，透过清蒸、炖煮及清炒等烹饪手法，让味道回归食材本质。套餐包含十多道菜式，中间穿插果醋茶饮，最后由北京特色甜点画下句点，滋味圆满。</p>
京华楼,Beijing,beijing,Beijing Municipality,中国大陆地区,Bib Gourmand,中档,京菜,+86 10 6485 9548,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/jing-hua-lou,餐厅致力传承八大楼的精致烹饪，重现老北京的庄馆菜。菜单丰富，包括做法繁复的手工菜，例如熏鱼儿将猪头肉先卤后熏，再切成薄片，入口油润细腻，烟熏味道恰到好处。油爆双脆将猪肚尖和鸡胗皆煮得爽口弹脆，也十分推荐。也提供玫瑰豆蓉酥、豌豆糕等传统手工糕点。室内装潢复古富气派，建议提前订座。
京季,Beijing,beijing,Beijing Municipality,中国大陆地区,TWO_STARS,奢华,京菜,+86 10 5969 5698,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/jingji,餐厅名称“京季”两字，分别代表北京和市花月季。采用海味干货、当季蔬菜、菌类等优质材料，炮制出传统官府菜。其中官府黄焖花胶选用鸭巴肚，口感软糯，汤底浓郁鲜美，不容错过。另推荐韭菜盒子和怀旧的风干羊肉北方炒饼。大厅提供两款套餐；包间菜式可以按客人要求调整，须在订座时沟通。
京艳•翰林书院,Beijing,beijing,Beijing Municipality,中国大陆地区,ONE_STAR,奢华,京菜,+86 10 8663 2999,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/mansion-cuisine-by-jingyan,餐厅所在的三进式四合院为历史建筑，主餐室层高开阔，可从落地窗欣赏庭院景致。菜单提供多样的京菜：烤鸭采用传统挂炉方式烤制，鸭皮酥脆且带有枣木的香气，油脂在舌尖缓缓化开；创始葱焗实心海参饱满厚实，砂锅的高温迸发出诱人焦香，搭配清甜爽脆的章丘大葱，相得益彰。富有北京特色的鸡尾酒也值得一试。
俏东北 (东城),Beijing,beijing,Beijing Municipality,中国大陆地区,Selected,中档,东北菜,+86 10 5360 7287,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/qiao-dong-bei,有别于明档和食材展示区流露的东北乡土气息，用餐区装修精致时尚。东北主厨选用东三省优质且丰富的食材，炮制出具有代表性的家乡菜式。锅包肉、杀猪菜、地三鲜、小鸡炖蘑菇等经典味道一应俱全，也包含蝲蛄豆腐、雪绵豆沙等少见的传统美食。部分菜式按位上菜，部分也可选半份，少人用餐也能品尝到不同风味。
兰斋,Beijing,beijing,Beijing Municipality,中国内地,TWO_STARS,奢华,素食,+86 10 8597 8888,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/lamdre,以透光玻璃铺设三角形屋顶，加上可供用餐的阳台，空间明亮舒适。主厨烹调精致素食的造诣深厚，亦曾赴海外进修食材知识。由其率领的年轻团队，以中国各地蔬食表达风土，并设计经典和季节套餐。招牌豆腐用松茸和海带苗浸泡两小时，再加入自家酿制的酱油，味道丰富。云南牛肝菌经炭烤后，香气四溢，风味浓郁。
兰颂,Beijing,beijing,Beijing Municipality,中国内地,Selected,奢华,时尚法国菜,+86 10 5710 9297,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/la-chansonniere,主厨兼创始人为理工科出身，与有机农场合作，以确保食材新鲜和品质。提供经典、季节和分享菜单，后者包含膀胱鸡、酥皮鱼等少见的传统法式菜肴，份量较大，须提前预订。经典菜式菲力牛排选用M9级澳洲牛肉，以干式熟成方法处理，肉质鲜嫩多汁，风味浓郁，搭配传统牛排酱和手打土豆泥，让人着迷。
刘妈妈肉汁饺子 (朝阳),Beijing,beijing,Beijing Municipality,中国大陆地区,Bib Gourmand,负担得起的,饺子,+86 159 5355 1403,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/liu-ma-ma-dumplings-chaoyang,坐落在艺术园区内，店外硕大的饺子造型招牌，惹人注目。店内设有明档厨房，可以看到揉面擀皮及包制饺子的过程。售卖胶东风味的饺子，当中包括多种胶东海鲜。招牌鲅鱼水饺选用来自渤海湾的大鲅鱼，肉质细腻，搭配烟台的新鲜韭菜，鲜嫩多汁。店家特意在饺子皮内加入薏仁粉，增添健康元素。也提供应季限定水饺和胶东凉菜。
利苑 (金宝大厦),Beijing,beijing,Beijing Municipality,中国大陆地区,ONE_STAR,优质的,粤菜,+86 10 8522 1212,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/lei-garden-jinbao-tower,利苑发迹于香港，此店为集团在北京的首家分店，开业以来一直提供高品质的正宗粤菜。其红紫相衬的装潢，加上亲切的服务员，令人感到喜气惬意。餐厅对食材十分讲究，特别自设农场，保持食物的鲜度与质量。建议预订皮脆肉嫩的冰烧三层肉，还有以文火熬煮6小时以上的老火靓汤，食材每天不同，也不容错过。
前里,Beijing,beijing,Beijing Municipality,中国大陆地区,Selected,中档,台州菜,+86 10 6590 6886,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/qian-li,选址大型商场内，环境舒适，价格却相当亲民。来自台州的厨师团队运用每天从家乡送抵的食材，制作出口味正宗的菜式。其中海鲜选择颇多，有鲳鱼、水潺、黄鱼、白蟹等，并提供多样化的烹调方法，更设有每周精选菜式。推荐黄鱼花胶羹，用上竹笋丝、木耳丝等与黄鱼肉及花胶同煮，口感丰富且味道鲜甜。
北京厨房 (建国路),Beijing,beijing,Beijing Municipality,中国内地,ONE_STAR,中档,粤菜,+86 10 6530 7905,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/the-beijing-kitchen,这家餐厅主营粤菜，取名“北京厨房”是希望让客人感到亲切，就像在家享用美食般愉快。来自香港的主厨兼老板拥有四十年经验，在传统粤菜和港式点心的基础上，不时呈上时令及创新菜式。招牌乳鸽皇选用三十天大的乳鸽，以三次上皮的技法制成，皮脆肉嫩，汁水丰富。杨枝甘露酸甜清爽，是必点的甜品。
匠牛饺子 (朝阳),Beijing,beijing,Beijing Municipality,中国大陆地区,Selected,负担得起的,饺子,+86 10 5094 4979,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/beef-dumplings,店如其名，以牛肉和饺子为主题，采用自家制作的饺子皮，并提供多种口味的饺子，当中以牛肉胡萝卜饺子最受欢迎。招牌菜酱牛肉以牛腿肉制作，用上包含豆蔻、香叶、桂皮等十多款香料的卤水汁熬煮至少十小时，酱香浓郁，口感软嫩。小店采用自助形式，客人可于小料台挑选喜爱的配料和蘸醋，为饺子添加风味。
华盛丰 (东三环南路),Beijing,beijing,Beijing Municipality,中国大陆地区,Bib Gourmand,中档,浙江菜,+86 10 8777 1008,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/hua-sheng-feng-dongsanhuan-south-road,老板来自温州，致力将家乡美食带到北京，俘获众多食客的味蕾。餐厅装修简朴，一进门便看到海鲜池和各种时令食材，可以让服务员推荐适宜的烹调方法。葱油泥螺滑嫩微脆，吸饱酱汁，颇受欢迎。在这里可尝到家常菜式，还有姜蛋猪肚等温州特色菜。菜品份量颇丰，而且价格合理，适合亲朋聚会。
卖汤,Beijing,beijing,Beijing Municipality,中国大陆地区,Bib Gourmand,中档,粤菜,+86 10 8587 8669,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/my-soup,位于商业中心内，顾名思义，此店以汤品作招徕，是附近许多上班族的食堂。提供两款常备汤品，还有每天转换款式的“每日一汤”。其中，花胶老鸡汤用料十足，汤头醇厚香浓，味道鲜美。也供应饭面和糖水等，尤以煲仔饭特别受欢迎，口味多达十多种。餐点均以新鲜食材现点现制，需要耐心等待。
叶叶菩提 (光华路),Beijing,beijing,Beijing Municipality,中国大陆地区,Selected,奢华,素食,+86 135 5268 6209,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/l-bodhi-guanghua-road,叶叶菩提在上海和北京分店数量不少，然而每间的菜单不尽相同，此店提供三个价位的套餐，各包括小点、沙拉、热菜、火锅、主食和甜品等共九道菜。厨师采用来自有机农场的食材，以天然原味、讲究身心调理的方式，呈现中菜素食新风貌。店内环境清静，以蓝白纱布分隔座席，提升隐私度。建议提前订座。
同和居 (月坛南街),Beijing,beijing,Beijing Municipality,中国内地,Bib Gourmand,中档,鲁菜,+86 10 6852 2917,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/tong-he-ju-yuetan-south-street,<p>同和居是北京的老字号，以“同怀和悦”为意，开业于1822年，牌匾更是末代皇帝的胞弟溥杰所题。作为京城八大居之首，带着百年历史，传承着鲁菜的经典菜式和烹调技艺。镇店名菜包括质感软嫩、带酸辣鲜香的烩乌鱼蛋；厚薄均匀、充满糟香的糟溜鳕鱼；以及按照秘方制作、香甜软糯的三不粘等。</p>
同春园,Beijing,beijing,Beijing Municipality,中国大陆地区,Selected,中档,江浙菜,+86 10 6200 3502,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/tong-chun-yuan,同春园始于1930年，曾两次搬迁，现址环境舒适。主要提供江浙菜，尤其擅于河鲜美食，也供应北京烤鸭及一些地方菜。招牌菜有松鼠鳜鱼和鳝糊，前者可从鱼缸中挑选活鱼制作，后者则选料上乘，味道馥郁。镇江肴肉也值得一试，皮冻和肥瘦肉分布细密，十分可口。餐厅只接受正午前的订座。菜式分量偏大，建议携伴共享。
